Title,Price,Status,Link
WALKING DEAD TP VOL 08 MADE TO SUFFER (NEW PTG),59.00 GEL,In stock,https://parsek1.com/cdn/shop/files/STL056928.jpg?v=1717656664&width=533
WALKING DEAD TP VOL 07 THE CALM BEFORE (NEW PTG),59.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/STL056927.jpg?v=1717656660&width=533
Avatar: The Last Airbender - Toph Beifong's Metalbending Academy,42.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506717128.jpg?v=1716983205&width=533
GUARDIANS OF THE GALAXY VOL. 2: GROOTRISE,65.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781302951207.jpg?v=1716983203&width=533
AVENGERS: TWILIGHT #1 ALEX ROSS 3RD PRINTING VARIANT,25.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960609592600113.jpg?v=1716983196&width=533
SPIDER-PUNK: ARMS RACE #2 RYAN STEGMAN VARIANT,19.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620853100221.jpg?v=1716983193&width=533
SPIDER-PUNK: ARMS RACE #1 DAVID BALDEON 2ND PRINTING VARIANT,21.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620853100112.jpg?v=1716983190&width=533
SPIDER-PUNK: ARMS RACE #3,19.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620853100311.jpg?v=1716983188&width=533
SYMBIOTE SPIDER-MAN 2099 #1 SALVADOR LARROCA MISS MINUTES VARIANT,21.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620311600161.jpg?v=1716983186&width=533
BLOOD HUNT #1 [BH],25.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620805000111.jpg?v=1716983183&width=533
VENOM: SEPARATION ANXIETY #1,21.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620855500111.jpg?v=1716983181&width=533
STAR WARS: DARK DROIDS - D-SQUAD 1 JOSEMARIA CASANOVAS DROIDS CONNECTING VARIANT [DD],25.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620577600131.jpg?v=1716983178&width=533
THE SPECTACULAR SPIDER-MEN 1 DAVID MARQUEZ FOIL VARIANT,30.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620746600121.jpg?v=1716983175&width=533
SPINE-TINGLING SPIDER-MAN 0 GREG LAND VARIANT,35.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620662900031.jpg?v=1716983173&width=533
AVENGERS: TWILIGHT #2 ALEX ROSS 3RD PRINTING VARIANT,21.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960609592600213.jpg?v=1716983170&width=533
"STAR WARS: DARTH MAUL - BLACK, WHITE & RED #1",25.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620707700111.jpg?v=1716983168&width=533
AMAZING SPIDER-MAN: BLOOD HUNT #1 [BH],21.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620869200111.jpg?v=1716983165&width=533
DEADPOOL #1 PETER WOODS MICRONAUTS VARIANT,21.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620897500191.jpg?v=1716983163&width=533
The Witcher: Corvo Bianco #1 (CVR A) (Corrado Mastantuono),19.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/76156801178400111.jpg?v=1716983160&width=533
All-Star Batman Vol. 1: My Own Worst Enemy (Rebirth),65.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781401274429.jpg?v=1716919369&width=533
Justice League: Death Metal,59.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781779511997.jpg?v=1716919356&width=533
Halo Graphic Novel (New Edition),55.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506725871.jpg?v=1716919341&width=533
Blacksad: Amarillo,75.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781616555252.jpg?v=1716919339&width=533
Avatar: The Last Airbender--Imbalance Part Three,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506708133.jpg?v=1716919334&width=533
Avatar: The Last Airbender--Imbalance Part Two,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506706528.jpg?v=1716919331&width=533
Maze,79.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506731438.jpg?v=1716919320&width=533
All-Star Superman,95.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781401290832.jpg?v=1716919317&width=533
Moebius Library: The World of Edena,165.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506702162.jpg?v=1716919315&width=533
The Legend of Korra: Ruins of the Empire Part One,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506708942.jpg?v=1716919310&width=533
Avatar: The Last Airbender--North and South Part Three,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506701301.jpg?v=1716919307&width=533
The Legend of Korra: Turf Wars Part One,42.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506700151.jpg?v=1716919302&width=533
Frank Miller's Sin City Volume 1: The Hard Goodbye (Fourth Edition),85.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506722825.jpg?v=1716919300&width=533
Avatar: The Last Airbender-Imbalance Part One,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506704890.jpg?v=1716919297&width=533
Avatar: The Last Airbender--North and South Part One,42.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506700229.jpg?v=1716919295&width=533
Moebius Library: Inside Moebius Part 1,135.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506703206.jpg?v=1716919292&width=533
Hellboy Universe Essentials: Hellboy,52.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506725031.jpg?v=1716919287&width=533
Avatar: The Last Airbender--North and South Part Two,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506701295.jpg?v=1716919285&width=533
Cyberpunk 2077: Your Voice,55.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506726236.jpg?v=1716919282&width=533
Assassin's Creed Valhalla: Forgotten Myths,57.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506729756.jpg?v=1716919280&width=533
Cyberpunk 2077: Blackout,55.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781506726274.jpg?v=1716919273&width=533
Avatar: The Last Airbender - Team Avatar Tales,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781506707938.jpg?v=1716919270&width=533
SYMBIOTE SPIDER-MAN: KING IN BLACK,55.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781302927578.jpg?v=1716919265&width=533
SPINE-TINGLING SPIDER-MAN,69.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781302954208.jpg?v=1715423824&width=533
SPIDER-BOY VOL. 1: THE WEB-LESS WONDER,55.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781302957155.jpg?v=1715423708&width=533
RETURN OF WOLVERINE,59.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781302911980.jpg?v=1715423210&width=533
DEADPOOL & WOLVERINE: WWIII #1 ROB LIEFELD VARIANT,18.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/75960620648300131.jpg?v=1715423196&width=533
STAR WARS: DARK DROIDS 1 GIUSEPPE CAMUNCOLI FOIL VARIANT [DD],27.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620562200151.jpg?v=1713685999&width=533
Nightwing: The Joker War,75.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781779521149.jpg?v=1713685950&width=533
Avatar: The Last Airbender - The Rift Part 2,42.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781616552961.jpg?v=1713685937&width=533
Avatar: The Last Airbender - The Rift Part 1,42.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781616552954.jpg?v=1713685934&width=533
X-MEN: FOREVER #1 PHIL NOTO QUIET COUNCIL VARIANT [FHX],19.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620835700131.jpg?v=1713685918&width=533
STAR WARS: VISIONS - TAKASHI OKAZAKI 1,22.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620647600111.jpg?v=1713685915&width=533
STAR WARS: JANGO FETT #1,19.00 GEL,In stock,https://parsek1.com/cdn/shop/files/75960620883800111.jpg?v=1713685912&width=533
Batman: Gotham by Gaslight (New Edition),69.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781779524058.jpg?v=1713685906&width=533
Avatar: The Last Airbender - The Rift Part 3,42.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781616552978.jpg?v=1713685903&width=533
Avatar: The Last Airbender - Smoke and Shadow Part Two,42.00 GEL,In stock,https://parsek1.com/cdn/shop/files/9781616557904.jpg?v=1713685900&width=533
Suicide Squad Vol. 1: Kicked in the Teeth (The New 52),51.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781401235444.jpg?v=1713685890&width=533
Avatar: The Last Airbender - Smoke and Shadow Part One,42.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781616557614.jpg?v=1713685884&width=533
GUARDIANS OF THE GALAXY VOL. 1: GROOTFALL,59.00 GEL,Sold out,https://parsek1.com/cdn/shop/files/9781302951191.jpg?v=1711397841&width=533
SAGA TP VOL 05 (MR),59.00 GEL,In stock,https://parsek1.com/cdn/shop/products/STK678606.jpg?v=1710596554&width=533
LOVECRAFT UNKNOWN KADATH TP VOL 01 (MR) (C: 0-1-2),79.00 GEL,In stock,https://parsek1.com/cdn/shop/products/STL259506.jpg?v=1710596549&width=533
DOCTOR WHO EMPIRE OF WOLF #1 CVR A BUISAN,19.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/STL204406.jpg?v=1710596517&width=533
DESCENDER TP VOL 02 (MR),55.00 GEL,In stock,https://parsek1.com/cdn/shop/products/STK698142.jpg?v=1710596514&width=533
CYBERPUNK 2077 XOXO #1 CVR B ALAN LOVE,15.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/STL286691.jpg?v=1710596512&width=533
SPIDER-WOMAN 1 EJIKURE SPIDER-WOMAN VARIANT [GW],19.00 GEL,In stock,https://parsek1.com/cdn/shop/products/75960620783100131.jpg?v=1709312534&width=533
Cyberpunk 2077: Trauma Team,55.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/9781506716015.jpg?v=1709312521&width=533
ALIEN VOL. 1: BLOODLINES,59.00 GEL,In stock,https://parsek1.com/cdn/shop/products/9781302926144.jpg?v=1709312518&width=533
DEMON WARS: SCARLET SIN 1 PEACH MOMOKO VARIANT,19.00 GEL,In stock,https://parsek1.com/cdn/shop/products/75960620565300131.jpg?v=1709312505&width=533
"Sonic the Hedgehog, Vol. 4: Infection",55.00 GEL,In stock,https://parsek1.com/cdn/shop/products/9781684055449.jpg?v=1709312502&width=533
SCARLET WITCH & QUICKSILVER 1 ROSE BESCH VARIANT,19.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/75960620827200121.jpg?v=1709312494&width=533
WOLVERINE BY BENJAMIN PERCY VOL. 1,61.00 GEL,In stock,https://parsek1.com/cdn/shop/products/9781302921828.jpg?v=1709312491&width=533
DAREDEVIL: GANG WAR 1 [GW],19.00 GEL,In stock,https://parsek1.com/cdn/shop/products/75960620778700111.jpg?v=1709312488&width=533
Stranger Things: The Voyage #1 (CVR B) (Kyle Lambert),17.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/76156801109800121.jpg?v=1709312484&width=533
Cyberpunk 2077: Big City Dreams,65.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/9781506726861.jpg?v=1709312472&width=533
Gravity Falls:: Dipper and Mabel and the Curse of the Time Pirates' Treasure!,59.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/9781484746684.jpg?v=1709312470&width=533
Gravity Falls:: Lost Legends,65.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/9781368021425.jpg?v=1709312467&width=533
Gravity Falls: Dipper's and Mabel's Guide to Mystery and Nonstop Fun!,55.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/9781484710807.jpg?v=1709312449&width=533
LOKI: THE LIAR,55.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/9780785194750.jpg?v=1709312443&width=533
MARVEL-VERSE: SPIDER-WOMAN,37.00 GEL,In stock,https://parsek1.com/cdn/shop/products/9781302952037.jpg?v=1709312436&width=533
Gravity Falls: Pining Away,20.00 GEL,Sold out,https://parsek1.com/cdn/shop/products/9781484711392.jpg?v=1709312428&width=533
